time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-16 09:30:00-05:00,MLTrader,6b536534ec7c450ebc088fef3982e54a,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-16 09:30:00-05:00,MLTrader,6b536534ec7c450ebc088fef3982e54a,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.192999839782715,8074.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,4e48cf84ba7940f1b723bbedad6bafaa,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,9a72e28e9ccb4b14924bbbac431bf7bf,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.883349847793578,8074.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,a13f6c022fe449a4970e0584a0c48d60,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,a13f6c022fe449a4970e0584a0c48d60,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.755249977111816,7217.0,0.0
2020-02-27 09:30:00-05:00,MLTrader,5e88e5bcb7ef42a896597cd8ba1738eb,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,MLTrader,6610d12f07fd4af49a647f52c734af59,NVDA,sell,stop,fill,1,day,0.0,1,stock,6.372499942779541,7217.0,0.0
2020-08-21 09:30:00-04:00,MLTrader,a35aceba2ac54b0fa048886d379bb040,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-21 09:30:00-04:00,MLTrader,a35aceba2ac54b0fa048886d379bb040,NVDA,buy,market,fill,1,gtc,0.0,1,stock,12.201749801635742,3882.0,0.0
2020-09-01 09:30:00-04:00,MLTrader,0b5231f978b84ca096f9f6527866939a,NVDA,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-01 09:30:00-04:00,MLTrader,5fae1287d1d34dfd976ba7a1e39de59d,NVDA,sell,limit,fill,1,day,0.0,1,stock,14.703749656677246,3882.0,0.0
2020-09-03 09:30:00-04:00,MLTrader,bca70da05868481bb79cb7fd55f8a953,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-03 09:30:00-04:00,MLTrader,bca70da05868481bb79cb7fd55f8a953,NVDA,buy,market,fill,1,gtc,0.0,1,stock,12.7837495803833,4085.0,0.0
2020-09-04 09:30:00-04:00,MLTrader,35a6330df5eb44f7b9a50fb67b919b0c,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-04 09:30:00-04:00,MLTrader,10cd2f0c22c94ad1bfb05e3b4a466c8b,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-04 09:30:00-04:00,MLTrader,f7d05d9b5ae446889558d728cb419ed9,NVDA,sell,stop,fill,1,day,0.0,1,stock,12.144562101364135,4085.0,0.0
2020-09-04 09:30:00-04:00,MLTrader,35a6330df5eb44f7b9a50fb67b919b0c,NVDA,buy,market,fill,1,gtc,0.0,1,stock,12.7837495803833,2043.0,0.0
2020-09-05 09:30:00-04:00,MLTrader,dc44fc0939fa4bd585d5c56493b00158,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-05 09:30:00-04:00,MLTrader,d5e776b955734d159c4d70d9ef16e32b,NVDA,sell,stop,fill,1,day,0.0,1,stock,12.144562101364135,2043.0,0.0
2021-02-26 09:30:00-05:00,MLTrader,f6e113aa4a9a48fe9460fb3f529f8533,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-26 09:30:00-05:00,MLTrader,f6e113aa4a9a48fe9460fb3f529f8533,NVDA,buy,market,fill,1,gtc,0.0,1,stock,13.7524995803833,3655.0,0.0
2021-03-03 09:30:00-05:00,MLTrader,925a26e2dbf145dba98324d4294e9607,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-03-03 09:30:00-05:00,MLTrader,df9697403e75429cb2110f128655cb17,NVDA,sell,stop,fill,1,day,0.0,1,stock,13.064874601364135,3655.0,0.0
2021-05-28 09:30:00-04:00,MLTrader,3b367f091d0f46718653801d5cada75a,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-05-28 09:30:00-04:00,MLTrader,3b367f091d0f46718653801d5cada75a,NVDA,buy,market,fill,1,gtc,0.0,1,stock,15.50100040435791,3162.0,0.0
2021-06-16 09:30:00-04:00,MLTrader,33f6f5c9bdcd447192d69058066cc28f,NVDA,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-06-16 09:30:00-04:00,MLTrader,c58a41b014b04ec2999edfa691295085,NVDA,sell,limit,fill,1,day,0.0,1,stock,18.60120048522949,3162.0,0.0
2021-11-18 09:30:00-05:00,MLTrader,f1d642119d23439baafd44f69872e88a,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-18 09:30:00-05:00,MLTrader,f1d642119d23439baafd44f69872e88a,NVDA,buy,market,fill,1,gtc,0.0,1,stock,32.367000579833984,1666.0,0.0
2021-12-03 09:30:00-05:00,MLTrader,00a7667b5f924d0f8cdd698477ae2f06,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-12-03 09:30:00-05:00,MLTrader,da705bd836714efc9e1ec5e3ad1f1190,NVDA,sell,stop,fill,1,day,0.0,1,stock,30.748650550842285,1666.0,0.0
2023-05-25 09:30:00-04:00,MLTrader,2633fafb88764a01876f4f4e295de15c,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-25 09:30:00-04:00,MLTrader,2633fafb88764a01876f4f4e295de15c,NVDA,buy,market,fill,1,gtc,0.0,1,stock,37.88999938964844,1387.0,0.0
2023-07-12 09:30:00-04:00,MLTrader,83da17eda93149ba88f8ae6b0644dc84,NVDA,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-12 09:30:00-04:00,MLTrader,132d6e8fa8354976b0dba4761479dcc0,NVDA,sell,limit,fill,1,day,0.0,1,stock,45.46799926757812,1387.0,0.0
